流水號,課程名稱,授課老師,課程大綱
41157,學士論文上,葛宇甯,"|**課程資訊**        課程名稱| 學士論文上  Thesis (b.s.) (1)  |    開課學期| 108-1    授課對象| 土木工程學系    授課教師| [葛宇甯](teacher.php?op=s2&td=501149)    課號| CIE4998    課程識別碼| 501 49501    班次| 02    學分| 1.0    全/半年| 全年    必/選修| 選修    上課時間|    上課地點|    備註| 初選不開放。  限本系所學生(含輔系、雙修生)  總人數上限：5人    |    課程簡介影片|    核心能力關聯|[核心能力與課程規劃關聯圖](http://coursemap.aca.ntu.edu.tw/course_map_all/relations.php?code=5010&cou_code=50149501)    **課程大綱**    **為確保您我的權利,請尊重智慧財產權及不得非法影印**    課程概述|Reserch potential development on topics related to geotechnical engineering    課程目標| Thesis research for undergraduate to help training of research potential    課程要求|    Office Hours|    參考書目|    指定閱讀|    評量方式  (僅供參考)|    **課程進度**        週次|日期|單元主題    ||  無資料"
69526,台灣人口變遷專題,薛承泰,"|**課程資訊**        課程名稱| 台灣人口變遷專題  Seminar on Demographic Population Changes in Taiwan  |    開課學期| 108-1    授課對象| 社會科學院  社會學系    授課教師| [薛承泰](teacher.php?op=s2&td=305073)    課號| Soc5029    課程識別碼| 325 U0650    班次|    學分| 3.0    全/半年| 半年    必/選修| 選修    上課時間| 星期一7,8,9(14:20~17:20)    上課地點| 社205    備註| 限學士班三年級以上  總人數上限：25人  外系人數限制：10人    Ceiba 課程網頁| <http://ceiba.ntu.edu.tw/1081Soc5029_popchg>    課程簡介影片|    核心能力關聯|  本課程尚未建立核心能力關連    **課程大綱**    **為確保您我的權利,請尊重智慧財產權及不得非法影印**    課程概述|本專題課程一開始將先介紹基本人口學概念、全球人口變遷、台灣人口變遷與特色、家庭與婚姻；然後再進入幾個重要議題，包括：勞動力、人口流動、貧窮與不均、退休制度與年金保險等。課程強調蒐集、整理與分析資料的能力，也就是拿出證據來進行論述與討論。    課程目標|本課程較適合大學部三年級以上學生或研究生為對象，尤其是社會學、台灣研究、社會福利、人口學程與相關系所學生。議題雖和社會福利較相關，因強調政策制定的人口基礎，並涉及經濟、財政、衛生醫療、教育、社會學與法律等層面，試圖從社會科學角度，並以擔任北市社會局長期間在第一線實務推動的經驗，以及擔任行政院政務委員負責政策擬定與修法的經驗，結合學術、政策與實務，來做介紹、解構、整合與應用。總之，強調現象的分析與政策的擬定須以當下人口為基礎，了解過去發展歷史以及未來的趨勢，才不會在時空上失焦。2012年9月「經濟人學」雜誌，即警告亞洲國家走向福利國家之路時，請多謹慎！筆者認為，人文社會議題，某些西方國家只是「先做」了，但未必是「先進」作為，我們參考「先做」國家的經驗，也不意味步向「先進」之路！    課程要求|課程中除閱讀過去國內外研究做為參考之外，並強調當前一手資訊的檢視以顯現出台灣的特性。換言之，學術觀點、實務經驗、時空背景與政策擬定之間的關係，是本課程所強調的取向。查證需要硬功夫，超越才是真本事!    原則上一次考試，一份報告與數次作業。待修課人數確定再進行調整進行方式，    Office Hours|    參考書目| 王德睦，2011，「人口」。收錄於王振寰與瞿海源主編 社會學與台灣社會(三版)，頁365-388。巨流。  王德睦與呂朝賢，1997，「人口老化與貧窮」，人口老化與老年照護，孫得雄、齊力與李美玲主編，頁65-86。台北: 中華民國人口學會。  王德睦與陳寬政，1988，「現代化、人口轉型與家戶組成：一個社會變遷理論之驗證」。收錄於楊國樞與瞿海源主編，變遷中的台灣社會，頁45-59。台北:中央研究院民族學研究所。  行政院經建會 近三次人口推計。  河合雅司 2018 (林詠純與葉小燕譯) 未來年表。究竟出版。  呂朝賢，1996，「貧窮女性化與貧窮程度的性別差異」，人文及社會科學集刊，8(2)221-256。  呂朝賢與王德睦，2000，「1960s以降的美國貧窮理論：回顧與整合」。人文社會科學集刊，12（1）：149-195。台北:中央研究院中山人文社會科學研究所。  陳寬政、楊靜利，1996，「台灣地區的人口變遷與社會安全」收錄於陳肇男等編人口、就業與福利，頁277-307。中央研究院經濟研究所。  陳寬政、王德睦與陳文玲，1986，「台灣地區人口變遷的原因與結果」，台大人口學刊，9: 1-21。  陳寬政、涂肇慶與林益厚，1989，「台灣地區的家戶組成及其變遷」。收錄於伊慶春與朱瑞玲主編，台灣社會現象的分析，頁311-35。台北:中央研究院中山人文社會科學研究所。  齊力，1990，「台灣地區近二十年來家戶核心化趨勢的研究」。台灣大學社會學刊，20：41-83。  薛承泰  2000 「台灣地區單親戶之貧窮：以1998年為例」。台大社會工作學刊2:151-189。台灣大學社會學系。  2008 「台灣地區兒少貧窮：1991-2005年的趨勢研究」。臺灣社會學刊40：89-130。  2013 「我國人口變遷與年金保險改革」。社區發展季刊144：1-20。  薛承泰、黃碧霞、李璧如  2011 「重修「貧窮線」的意義」。社區發展季刊134：381-399。    Bianchi, Suzanne M.  1999 ""Feminization and Juvenilization of Poverty: Trends, Relative Risks,Causes, and Consequences."" Annual Review of Sociology 25:307-333.  Billari, F.C. and H.P. Kohler 2004. “Patterns of low and lowest-low fertilityin Europe.” Population Studies 58(2):161-176.  Billari, Francesco C. 2008. "" Lowest-Low Fertility in Europe: Exploring theCauses and Finding Some Surprises."" The Japanese Journal of Population6(1):2-18.  Hsueh, Cherng-tay,2020,Taiwan Population in the New Century: The Case ofLowest-low Fertility (forthcoming)  Hsueh, Cherng-tay and Yeun-wen KU, 2009,“Social Change and Social Policy inTaiwan: New Poverty, M-shaped Society and Policy Implications.” InternationalJournal of Japanese Sociology 18:45-59.  Hsueh, Cherng-tay and Yun-tung Wang, 2012,“Long Term Care Policy in Taiwan.”International Journal of Welfare for the Aged .  Hsueh, Cherng-tay and Yu-Feng Chan, 2016.” Social Welfare Policies duringGlobal Financial Crisis: An Example of Social Inclusion in Taiwan.” AsiaPacific Journal of Social Work and Development. Special volume Sept. 2016.  Kohler, H.P., F.C. Billari and J.A. Ortega. 2002. “The Emergence of Lowest-LowFertility in Europe During the 1990s.” Population and Development Review28(4):641-680.  McDonald, P. 2000. “Gender Equity in Theories of Fertility Transitions.”Population and Development Review 26(3):427-440.  McLanahan, S.S. and G. Sandefur  1994 Growing Up with a Single Parent: What Hurts, What Helps. Cambridge:Harvard University Press.  Midgley, James  2001 “The United States: Welfare, Work and Development.” International SocialWelfare 10:284-293.  Rank, Mark R.  2001 “The Effect of Poverty on America’s Families.” Journal of Family Issues22(7):882-903.  Seccombe, Karen  2000 ""Families in Poverty in the 1990s: Trends, Causes, Consequences, andLessons Learned."" Journal of Marriage and Family.  Suzuki, Toru. 2019. Eastern Asian Population History and ContemporaryPopulation Issues. Springer.  United Nations  2017 The Sustainable Development Goals Report 2016.  Zaidi, Batool and S. Philip Morgan. 2017. ""The Second Demographic TransitionTheory: A Review and Appraisal."" Annual Review of Sociology 43:473-492.    指定閱讀| 薛承泰 2016，台灣人口大震盪。天下文化。    評量方式  (僅供參考)|    **課程進度**        週次|日期|單元主題    ||    第1週| 9/11  | 課程簡介與人口學基本概念    第2週| 9/18  | 簡介與導讀，全球人口變遷(1)    第3週| 9/25  | 全球人口變遷(2)    第4週| 10/02  | 臺灣人口變遷趨勢:台灣人口大震盪第一章    第5週| 10/09  | 臺灣人口變遷特色:台灣人口大震盪第三章    第6週| 10/16  | 人口推估:參考國發會2018年推估    第7週| 10/23  | 婚姻與家庭:臺灣人口大震盪第二章    第8週| 10/30  | 人力資本與勞動力 (臺灣人口大震盪第四章)    第9週| 11/06  | 人口變遷與教育發展 (臺灣人口大震盪第六章)    第10週| 11/13  | 期中報告，人口與貧窮 (臺灣人口大震盪第五章)    第11週| 11/20  | 人口與不均 (臺灣人口大震盪第五章)    第12週| 11/27  | 貧窮分析    第13週| 12/04  | 移民，高齡化相關議題(台灣人口大震盪第7章)    第14週| 12/11  | 人口與退休制度(1)(台灣人口大震盪第8章)    第15週| 12/18  | 人口與退休制度(2)(台灣人口大震盪第8章)    第16週| 12/25  | 考試與報告    第17週| 1/01  | 元旦放假"
37916,醫學工程導論,宋孔彬,"|**課程資訊**        課程名稱| 醫學工程導論  Fundamentals of Biomedical Engineering  |    開課學期| 108-1    授課對象| 電機資訊學院  生醫電子與資訊學研究所    授課教師| [宋孔彬](teacher.php?op=s2&td=945010)    課號| EE5070    課程識別碼| 921 U3060    班次|    學分| 3.0    全/半年| 半年    必/選修| 必修    上課時間| 星期二2,3,4(9:10~12:10)    上課地點| 明達205    備註| 與林啟萬、陳志宏、管傑雄、郭柏齡、黃念祖、魏安祺、楊東霖、林致廷、李百祺、鍾孝文、莊曜宇合授  總人數上限：75人    |    課程簡介影片|    核心能力關聯|  本課程尚未建立核心能力關連    **課程大綱**    **為確保您我的權利,請尊重智慧財產權及不得非法影印**    課程概述|醫工導論之課程設計係以生醫電子組教師之研究領域與重點為基礎，兼顧醫工整體領域之發展需求規劃而成，側重於生醫電子相關課題。前半學期主要在生物分子感測之原理、元件製程、系統整合以及應用方面作介紹，後半學期則為醫學影像系統包含磁核共振、X光斷層掃瞄、核子醫學、超音波、光學影像等之原理及相關應用。    課程目標| 使學生具備生物醫學工程相關之基本知識與共同語言，認識生醫電子組教師之研究重點，瞭解相關領域的發展趨勢，以啟發深入研究之興趣。    課程要求|    Office Hours| 另約時間    參考書目|    指定閱讀|    評量方式  (僅供參考)|   |No.|項目|百分比|說明    |||    1. | 出席  |10%| 上課時填寫心得單    2. | 期末考  |30%|    3. | 期末報告  |20%| 書面報告    4. | 作業  |40%|      **課程進度**        週次|日期|單元主題    ||    第1週| 9/14  | 課程簡介（宋孔彬）    第2週| 9/21  | 生物材料（郭柏齡）    第3週| 9/28  | 細胞晶片（郭柏齡）    第4週| 10/5  | 微奈光電製程（管傑雄）    第5週| 10/12  | 微流體元件與系統（田維誠）    第6週| 10/19  | 生醫感測器（林致廷）    第7週| 10/26  | 電腦斷層、核醫（鍾孝文）    第8週| 11/2  | 電腦斷層、核醫（鍾孝文）    第9週| 11/9  | 生物晶片與生物資訊（莊曜宇）    第10週| 11/16  | 磁振造影（陳志宏）    第11週| 11/23  | 磁振造影（陳志宏）    第12週| 11/30  | 生醫光電（宋孔彬）    第13週| 12/7  | 生醫超音波技術（郭柏齡）    第14週| 12/14  | 生醫光學影像（宋孔彬）    第15週| 12/21  | 生醫影像處理簡介（曹建和）    第16週| 12/28  | 醫療器材法規與認證（林啟萬）    第17週| 2011/01/04  | 期末考"
36596,進階獨立研究五,薛漪平,"|**課程資訊**        課程名稱| 進階獨立研究五  Advanced Independent Study (Ⅴ)  |    開課學期| 108-1    授課對象| 職能治療學研究所    授課教師| [薛漪平](teacher.php?op=s2&td=409009)    課號| OT8006    課程識別碼| 429 D0250    班次| 05    學分| 2.0    全/半年| 半年    必/選修| 選修    上課時間|    上課地點|    備註| 限本系所學生(含輔系、雙修生) 且 限碩士班以上  總人數上限：20人    Ceiba 課程網頁| <http://ceiba.ntu.edu.tw/1081OT8006_05>    課程簡介影片|    核心能力關聯|[核心能力與課程規劃關聯圖](http://coursemap.aca.ntu.edu.tw/course_map_all/relations.php?code=429D&cou_code=429D0250)    **課程大綱**    **為確保您我的權利,請尊重智慧財產權及不得非法影印**    課程概述|由指導教師指導其研究生從事其博士論文相關之小型前置型研究，以為博士論文之準備。    由指導教師以一對一方式，與接受指導的學生每週定期討論 1小時，內容包括研究主題、研究個案之取樣方法、資料收集方法，資料分析方法，並指導學生文獻查詢與研究計畫書與研究報告之撰寫    課程目標| 培養研究生科學研究之精神及研究方法，從事其博士論文相關之小型前置型研究，以為博士論文之準備。    課程要求| 由指導教師訂定課程要求    Office Hours|    參考書目| 由指導教師規定    指定閱讀| 待補    評量方式  (僅供參考)|    **課程進度**        週次|日期|單元主題    ||"
26994,學士專題研究,楊宏智,"|**課程資訊**        課程名稱| 學士專題研究  Special Project for Bachelor Degrees Student  |    開課學期| 108-1    授課對象| 機械工程學系    授課教師| [楊宏智](teacher.php?op=s2&td=502026)    課號| ME5105    課程識別碼| 522 U0090    班次| 39    學分| 2.0    全/半年| 半年    必/選修| 選修    上課時間|    上課地點|    備註| 總人數上限：15人    |    課程簡介影片|    核心能力關聯|  本課程尚未建立核心能力關連    **課程大綱**    **為確保您我的權利,請尊重智慧財產權及不得非法影印**    課程概述|編制中    課程目標|    課程要求|    Office Hours|    參考書目|    指定閱讀|    評量方式  (僅供參考)|    **課程進度**        週次|日期|單元主題    ||  無資料"
38123,材料力學,洪宏基,"|**課程資訊**        課程名稱| 材料力學  Mechanics of Materials  |    開課學期| 108-1    授課對象| 土木工程學系    授課教師| [洪宏基](teacher.php?op=s2&td=501066)    課號| CIE2006    課程識別碼| 501 21210    班次| 01    學分| 4.0    全/半年| 半年    必/選修| 必修    上課時間| 星期二6,7,8(13:20~16:20)星期四6,7(13:20~15:10)    上課地點| 新502新502    備註| 限本系所學生(含輔系、雙修生) 且 限學士班二年級  總人數上限：40人    |    課程簡介影片|    核心能力關聯|[核心能力與課程規劃關聯圖](http://coursemap.aca.ntu.edu.tw/course_map_all/relations.php?code=5010&cou_code=50121210)    **課程大綱**    **為確保您我的權利,請尊重智慧財產權及不得非法影印**    課程概述|以工程之觀點與應用力學之方法，教導學生材料力學之基本概念。主要涵蓋分析各類桿件的變形、應力及其與材料強度之關係，以做為未來結構及力學相關應用課程之基礎。    課程目標| 1.能對材料力學之內涵及其在土木工程及各種相關領域之應用有所了解。  2.對於材料之應變與應力觀念及其關係有基本認知。  3.能分析桿件受軸向荷載之行為。  4.能分析桿件受扭轉荷載之行為。  5.能分析桿件受撓曲荷載所引致之內在應力與應變。  6.能分析桿件受撓曲荷載所引致之變形。  7.能分析桿件受組合荷載之行為。  8.能對於結構穩定度之理論有基本認知，建立安全設計之觀念。  9.能利用應力元素的觀念，了解應力與應變之轉換方程式。    課程要求| 1\. 3種一維構件(桿, 軸, 梁)之內力(軸力, 扭矩, 彎矩, 剪力)與載重的關係.  2\. 3種變形機制: 軸向變形, 扭剪變形, 撓曲變形. 畫圖說明, 文字敘明假設, 適用剖面.  3\. 各種剖面, 各種支承, 各種釋放器.  4\. 張量(應力, 應變, 慣性). 主軸與主值(主應力, 主應變, 主慣性矩), 摩爾圓.  5\. 應力與應變的關係, 如何測定楊氏模數,剪切模數,卜松比. 3種剛度: 軸向剛度, 扭剪剛度, 撓曲剛度.  6\. 何謂穩定平衡? 何謂不穩定平衡? 柱. 挫屈.    Office Hours|    參考書目| No textbooks. Please take notes.  不指定教科書，請同學記筆記。  編有講義，請同學認真研讀，並歡迎提問討論。  如果同學要買教科書作為參考書，老師持正面的態度，鼓勵同學不妨買1~3本，多參考，但  求學不需要一直停在同一個位準，只在乎反覆練習，並不是做學問。  老師認為要打好基礎，了解清楚，就要繼續深入問題。    指定閱讀|    評量方式  (僅供參考)|    **課程進度**        週次|日期|單元主題    ||  無資料"
40177,創意創業核心課程(一),陳炳宇,"|**課程資訊**        課程名稱| 創意創業核心課程(一)  Core Curriculum on Creativity and Entrepreneurship (I)  |    開課學期| 108-1    授課對象| 學程  創意創業學程    授課教師| [陳炳宇](teacher.php?op=s2&td=705037)    課號| Prog0001    課程識別碼| P37 U0900    班次|    學分| 3.0    全/半年| 半年    必/選修| 必修    上課時間| 星期一7,8,9(14:20~17:20)    上課地點|    備註| 初選不開放。限審核通過的創創學程學生修習。第一次上課發放授權碼，請務必準時出席。上課教室：冠德講堂。與許文馨、林晉玄合授  總人數上限：60人  課程大綱| 目前無該大綱資料！"
64550,專題研究一,黃麗君,"|**課程資訊**        課程名稱| 專題研究一  Independent Study (Ⅰ)  |    開課學期| 108-1    授課對象| 生物產業傳播暨發展學系    授課教師| [黃麗君](teacher.php?op=s2&td=610030)    課號| BICD4016    課程識別碼| 610 49710    班次| 07    學分| 2.0    全/半年| 半年    必/選修| 選修    上課時間|    上課地點|    備註| 修課前請先與授課教師聯繫討論  總人數上限：5人    |    課程簡介影片|    核心能力關聯|[核心能力與課程規劃關聯圖](http://coursemap.aca.ntu.edu.tw/course_map_all/relations.php?code=6100&cou_code=61049710)    **課程大綱**    **為確保您我的權利,請尊重智慧財產權及不得非法影印**    課程概述|依同學需求而定    課程目標|    課程要求|    Office Hours|    參考書目|    指定閱讀|    評量方式  (僅供參考)|    **課程進度**        週次|日期|單元主題    ||  無資料"
47399,生理學,余佳慧,"|**課程資訊**        課程名稱| 生理學  Physiology  |    開課學期| 108-1    授課對象| 藥學系    授課教師| [余佳慧](teacher.php?op=s2&td=441014)    課號| Med2014    課程識別碼| 401 24100    班次| 01    學分| 4.0    全/半年| 半年    必/選修| 必帶    上課時間| 星期一1,2,3,4(8:10~12:10)    上課地點| 基醫301    備註| 第一週向生理學科助教登記加簽，保健營養、分子醫學學分學程及重修生優先，外系次之。與郭鐘金、湯志永、蘇慧敏、胡孟君、賴亮全、林水龍、詹智強、李宗玄、張哲逢合授  限本系所學生(含輔系、雙修生) 且 限學士班二年級以上  總人數上限：170人    |    課程簡介影片|    核心能力關聯|  本課程尚未建立核心能力關連    **課程大綱**    **為確保您我的權利,請尊重智慧財產權及不得非法影印**    課程概述|課號：40124100 班次：01/02 課程名稱：生理學  對象：藥學、醫技、護理、職治、物治、公衛二年級與牙醫三年級  上課地點：  01班：公衛、醫技、藥學、-301講堂  02班：物治、護理、職治、外系-501講堂    Cell membrane  Muscle  CV system  Heart  CNS  GI system  Kidney  Respiration  Endocrine  Lab 1~5    課程目標| 學習生理學知識    課程要求| 請同學上生理所網頁->修課公告->生理學，查詢修課相關訊息與講義下載  http://physiology.mc.ntu.edu.tw/studyinfo_01.aspx?id=108&openid=4    Office Hours|    參考書目| 待補    指定閱讀|    評量方式  (僅供參考)|    **課程進度**        週次|日期|單元主題    ||  無資料"
83435,普通化學丙,陳浩銘,"|**課程資訊**        課程名稱| 普通化學丙  General Chemistry (c)  |    開課學期| 108-1    授課對象| 醫學檢驗暨生物技術學系    授課教師| [陳浩銘](teacher.php?op=s2&td=203145)    課號| Chem1009    課程識別碼| 203 101C0    班次| 01    學分| 3.0    全/半年| 半年    必/選修| 必修    上課時間| 星期三3,4(10:20~12:10)星期五3,4(10:20~12:10)    上課地點| 共201共201    備註| 本課程中文授課,使用英文教科書。請依指定修習院系班次修習。詳化學系選課須知。初選期間不開放通識A7*課加選。  限本系所學生(含輔系、雙修生)  總人數上限：230人    Ceiba 課程網頁| <http://ceiba.ntu.edu.tw/1081Chem1009_01>    課程簡介影片|    核心能力關聯|[核心能力與課程規劃關聯圖](http://coursemap.aca.ntu.edu.tw/course_map_all/relations.php?code=2030&cou_code=203101C0)    **課程大綱**    **為確保您我的權利,請尊重智慧財產權及不得非法影印**    課程概述|本課程主要內容涵蓋：化學及化學反應概述、原子分子與化學鍵、物質三態與溶液、動力學、酸鹼與平衡、熱力學、電化學及生物有機化學等。教學方式以講演為主，課程中安排作業及期中與期末考。    課程目標|本課程主要目標為讓學生經由研究物質及物質變化，瞭解組成物質的基本粒子：原子、分子、離子等；由原子分子結構及化學鍵，瞭解其與物質性質之關連性；進而觀察化學反應的巨觀性質，如速率、平衡等，並由微觀粒子理論解釋化學現象。普通化學內容涵蓋初級分析化學、物理化學及有機化學，讓學生對化學有一統整性的認識。其中量子力學、分子軌域、熱力學、電化學是高中化學較少接觸的章節，學生需特別用心學習；而英文教科書的閱讀及英文化學專有名詞之理解也是大一普通化學的學習重點之一。    課程要求| 學生需配合課程進度閱讀教科書，練習課本範例與習題，參與分組討論習作並繳交指定作業。    Office Hours|    參考書目| Chemistry: The Central Science (13th edition, Global edition)    Authors: Theodore L. Brown, H. Eugene LeMay, Bruce E. Bursten, Catherine J.  Murphy, Patrick M. Woodward, Matthew W. Stoltzfus    指定閱讀| 待補    評量方式  (僅供參考)|    **課程進度**        週次|日期|單元主題    ||"
